Title,Company,Location,Date
"
            
        Software Engineer
      
          ","
            Mozn
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",5/29/2023
"
            
        Application Developer
      
          ","
            Tabadul
          ","
            Riyadh, Saudi Arabia
          ",6/13/2023
"
            
        Software Engineering Manager
      
          ","
            Salla E-Commerce Platform
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",4/3/2023
"
            
        Software Lead Developer - Java 
      
          ","
            Saudi Tadawul Group
          ","
            Riyadh, Saudi Arabia
          ",5/30/2023
"
            
        Artificial Intelligence Engineer
      
          ","
            SCAI | سكاي
          ","
            Riyadh, Saudi Arabia
          ",6/12/2023
"
            
        Software Engineering Manager
      
          ","
            Lucidya | لوسيديا
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",5/7/2023
"
            
        Senior Web Developer
      
          ","
            Intigral
          ","
            Riyadh, Saudi Arabia
          ",6/8/2023
"
            
        Technology Lead
      
          ","
            envnt.
          ","
            Riyadh, Saudi Arabia
          ",6/11/2023
"
            
        System Engineering & Integration Manager
      
          ","
            JASARA Program Management Company
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",5/23/2023
"
            
        MySQL Solution Engineer
      
          ","
            Oracle
          ","
            Riyadh, Saudi Arabia
          ",5/24/2023
"
            
        Integration Lead
      
          ","
            ALTANFEETHI
          ","
            Riyadh, Saudi Arabia
          ",6/4/2023
"
            
        Application Architect
      
          ","
            Aventus
          ","
            Riyadh, Saudi Arabia
          ",6/7/2023
"
            
        Systems Architect
      
          ","
            CREALOGIX
          ","
            Jiddah, Makkah, Saudi Arabia
          ",6/15/2023
"
            
        Web Developer
      
          ","
            PROVEN Consult
          ","
            Riyadh, Saudi Arabia
          ",6/8/2023
"
            
        DevOps Engineering Expert
      
          ","
            Intigral
          ","
            Riyadh, Saudi Arabia
          ",6/6/2023
"
            
        Application developer
      
          ","
            Arabic Computer Systems
          ","
            Al Kharj, Riyadh, Saudi Arabia
          ",4/3/2023
"
            
        IT Support Intern
      
          ","
            Mozn
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",5/22/2023
"
            
        Digital Application Developer
      
          ","
            Arabic Computer Systems
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",4/3/2023
"
            
        Senior Backend Software Engineer
      
          ","
            Beyond Limits
          ","
            Eastern Region
          ",5/29/2023
"
            
        مهندس جودة المواد
      
          ",,"
            Al Baha, Al Bahah, Saudi Arabia
          ",6/15/2023
"
            
        Information Technology Engineer
      
          ","
            FinZey Finance Co. | شركة فينزي للتمويل
          ","
            Riyadh, Saudi Arabia
          ",6/8/2023
